Tanggal,Suhu Maks (C),Suhu Min (C),Suhu Rata-rata (C),Curah Hujan (mm),Kecepatan Angin Maks (km/h)
2000-01-01,29.5,22.8,25.4,12.2,5.0
2000-01-02,28.0,22.6,24.4,16.9,9.0
2000-01-03,26.5,22.6,24.3,5.1,9.3
2000-01-04,30.0,22.4,25.7,2.9,5.1
2000-01-05,29.5,22.6,25.2,21.8,9.2
2000-01-06,29.2,22.8,25.0,16.5,10.8
2000-01-07,29.7,22.4,24.9,32.4,7.6
2000-01-08,28.0,22.7,24.4,37.2,6.0
2000-01-09,29.6,22.0,24.6,26.0,8.3
2000-01-10,28.8,22.1,24.5,11.3,10.2
2000-01-11,29.0,22.1,24.5,20.2,6.5
2000-01-12,29.0,22.4,24.5,18.4,11.6
2000-01-13,29.3,22.2,25.3,0.0,4.0
2000-01-14,29.9,21.9,25.7,0.2,4.5
2000-01-15,30.2,21.5,25.7,1.9,6.3
2000-01-16,30.3,23.0,25.5,39.2,5.2
2000-01-17,26.6,23.1,24.4,72.3,5.4
2000-01-18,28.2,22.2,24.2,23.0,9.7
2000-01-19,29.6,21.9,24.7,12.4,5.9
2000-01-20,28.0,22.3,24.0,14.5,5.9
2000-01-21,26.9,22.3,24.2,6.3,11.5
2000-01-22,29.4,21.7,24.5,11.3,9.6
2000-01-23,28.8,22.5,24.7,8.0,8.8
2000-01-24,27.8,22.3,24.4,18.6,11.4
2000-01-25,28.2,22.2,24.3,8.7,14.9
2000-01-26,27.0,22.8,24.1,8.9,13.0
2000-01-27,26.5,22.6,23.8,13.6,11.0
2000-01-28,26.0,22.0,23.8,16.4,8.4
2000-01-29,28.0,22.4,24.6,11.7,5.1
2000-01-30,28.0,22.1,24.2,16.5,6.6
2000-01-31,27.8,22.2,24.6,3.6,5.0
2000-02-01,27.4,21.9,24.0,10.0,6.4
2000-02-02,27.0,22.6,23.9,12.0,6.8
2000-02-03,28.0,21.9,24.1,23.6,8.2
2000-02-04,25.4,22.6,23.8,11.8,9.1
